regulon	gene	cor	p	r2	Ensembl	in_Oxphos_68_Porcelli_list	is_in_TF_list
SCENIC_CG3726_activating_regulon	CG3726	-0.242375097081269	1.38670597597821e-156	0.0587456876851546	FBgn0029824	FALSE	TRUE
SCENIC_CG32532_activating_regulon	CG32532	-0.242407447960514	1.25733139290269e-156	0.0587613708267291	FBgn0052532	FALSE	TRUE
SCENIC_Sox21a_activating_regulon	Sox21a	-0.243680564149222	2.63334713413023e-158	0.0593802173440829	FBgn0036411	FALSE	TRUE
SCENIC_Hr39_activating_regulon	Hr39	-0.246529713031867	4.23947818980759e-162	0.0607768994075747	FBgn0261239	FALSE	TRUE
SCENIC_Sp1_activating_regulon	Sp1	-0.249363947957254	6.3774840284729e-166	0.0621823785408281	FBgn0020378	FALSE	TRUE
SCENIC_psq_activating_regulon	psq	-0.249531530803003	3.77639776203243e-166	0.0622659848648901	FBgn0263102	FALSE	TRUE
SCENIC_nerfin-2_activating_regulon	nerfin-2	-0.250131394321702	5.76856210368373e-167	0.0625657144253188	FBgn0041105	FALSE	TRUE
SCENIC_hang_activating_regulon	hang	-0.251711826689482	3.98610453838813e-169	0.0633588436953557	FBgn0026575	FALSE	TRUE
SCENIC_TfAP-2_activating_regulon	TfAP-2	-0.252114417930896	1.11616015385291e-169	0.0635616797286343	FBgn0261953	FALSE	TRUE
SCENIC_E(bx)_activating_regulon	E(bx)	-0.25321714989246	3.37575120036616e-171	0.0641189249996607	FBgn0000541	FALSE	TRUE
SCENIC_zfh2_activating_regulon	zfh2	-0.254665326832732	3.32372593440175e-173	0.0648544286908222	FBgn0004607	FALSE	TRUE
SCENIC_Rfx_activating_regulon	Rfx	-0.255173111560451	6.52991191960515e-174	0.0651133168634421	FBgn0020379	FALSE	TRUE
SCENIC_Mef2_activating_regulon	Mef2	-0.257825667347467	1.25061383522806e-177	0.0664740747431665	FBgn0011656	FALSE	TRUE
SCENIC_CG12071_activating_regulon	CG12071	-0.261053924090208	3.2603196796185e-182	0.068149151282896	FBgn0039808	FALSE	TRUE
SCENIC_Mad_activating_regulon	Mad	-0.262537713374211	2.42391297583198e-184	0.0689260509437594	FBgn0011648	FALSE	TRUE
SCENIC_cic_activating_regulon	cic	-0.263187030020766	2.80941883105793e-185	0.0692674127711517	FBgn0262582	FALSE	TRUE
SCENIC_Mnt_activating_regulon	Mnt	-0.263248396808282	2.29101355407932e-185	0.0692997184221306	FBgn0023215	FALSE	TRUE
SCENIC_BuGZ_activating_regulon	BuGZ	-0.263621667862673	6.61705918803843e-186	0.0694963837666974	FBgn0032600	FALSE	TRUE
SCENIC_dan_activating_regulon	dan	-0.266323696839495	7.7653468129658e-190	0.070928311498255	FBgn0039286	FALSE	TRUE
SCENIC_EcR_activating_regulon	EcR	-0.267509900740191	1.41282534981412e-191	0.0715615469940267	FBgn0000546	FALSE	TRUE
SCENIC_CG18011_activating_regulon	CG18011	-0.268256416402913	1.12315304588081e-192	0.0719615049413328	FBgn0033491	FALSE	TRUE
SCENIC_CG31224_activating_regulon	CG31224	-0.268696507940639	2.51483858307465e-193	0.072197813379494	FBgn0051224	FALSE	TRUE
SCENIC_Lim1_activating_regulon	Lim1	-0.269207489684213	4.40908649010553e-194	0.0724726725020757	FBgn0026411	FALSE	TRUE
SCENIC_Ptx1_activating_regulon	Ptx1	-0.277211109355779	3.82948111719956e-206	0.0768459991502615	FBgn0020912	FALSE	TRUE
SCENIC_CG17803_activating_regulon	CG17803	-0.277683792298893	7.21076491785158e-207	0.0771082885054947	FBgn0038547	FALSE	TRUE
SCENIC_lov_activating_regulon	lov	-0.281403051621514	1.26423552799032e-212	0.0791876774619004	FBgn0266129	FALSE	TRUE
SCENIC_Snoo_activating_regulon	Snoo	-0.299599812098951	4.31794979801524e-242	0.0897600474097267	FBgn0085450	FALSE	TRUE
SCENIC_pdm3_activating_regulon	pdm3	-0.300127374930339	5.6006318290747e-243	0.090076441182576	FBgn0261588	FALSE	TRUE
SCENIC_ush_activating_regulon	ush	-0.320446988459806	1.39356957262922e-278	0.102686272412959	FBgn0003963	FALSE	TRUE
SCENIC_luna_activating_regulon	luna	-0.321383959298781	2.71488365244982e-280	0.103287649294561	FBgn0040765	FALSE	TRUE
SCENIC_NK7.1_activating_regulon	NK7.1	-0.335708512090124	3.26573523128764e-307	0.112700205089765	FBgn0024321	FALSE	TRUE
SCENIC_cg_activating_regulon	cg	-0.338929610741616	1.11254600054329e-308	0.114873281037463	FBgn0000289	FALSE	TRUE
SCENIC_BtbVII_activating_regulon	BtbVII	-0.339759581014178	1.11253714488896e-308	0.115436572890929	FBgn0263108	FALSE	TRUE
SCENIC_Atf6_activating_regulon	Atf6	-0.355342163114456	0	0.126268052886861	FBgn0033010	FALSE	TRUE
SCENIC_NFAT_activating_regulon	NFAT	-0.39044150933273	0	0.15244457221002	FBgn0030505	FALSE	TRUE
SCENIC_tai_activating_regulon	tai	-0.405906011589915	0	0.164759690244832	FBgn0041092	FALSE	TRUE
SCENIC_jing_activating_regulon	jing	-0.407683995721009	0	0.166206240367047	FBgn0086655	FALSE	TRUE
SCENIC_lilli_activating_regulon	lilli	-0.428925430175848	0	0.183977024651536	FBgn0041111	FALSE	TRUE
SCENIC_gce_activating_regulon	gce	-0.473701857762238	0	0.224393450047396	FBgn0261703	FALSE	TRUE
