regulon	gene	cor	p	r2	Ensembl	in_Oxphos_68_Porcelli_list	is_in_TF_list
SCENIC_inv_activating_regulon	inv	-0.0127911922965682	0.0514881121880141	0.000163614600367787	FBgn0001269	FALSE	TRUE
SCENIC_E5_activating_regulon	E5	-0.013361211921336	0.0419335529721947	0.00017852198400685	FBgn0008646	FALSE	TRUE
SCENIC_pita_activating_regulon	pita	-0.015942731751056	0.0152138257942116	0.00025417069568613	FBgn0034878	FALSE	TRUE
SCENIC_Neu2_activating_regulon	Neu2	-0.0163083017053616	0.0130312825272191	0.000265960704513101	FBgn0037085	FALSE	TRUE
SCENIC_CG2678_activating_regulon	CG2678	-0.0170284644836369	0.00952611163302369	0.000289968602670483	FBgn0014931	FALSE	TRUE
SCENIC_foxo_activating_regulon	foxo	-0.0175839270754958	0.00742504702315197	0.000309194491396355	FBgn0038197	FALSE	TRUE
SCENIC_CG12605_activating_regulon	CG12605	-0.0176934205002897	0.00706367946551274	0.000313057129000072	FBgn0035481	FALSE	TRUE
SCENIC_HLH3B_activating_regulon	HLH3B	-0.0177891347023359	0.0067608092399057	0.000316453313457852	FBgn0011276	FALSE	TRUE
SCENIC_Ets98B_activating_regulon	Ets98B	-0.0182578813230833	0.00543956528002266	0.000333350230407795	FBgn0005659	FALSE	TRUE
SCENIC_Fer1_activating_regulon	Fer1	-0.0196192382631555	0.00281649597070852	0.000384914510026466	FBgn0037475	FALSE	TRUE
SCENIC_esg_activating_regulon	esg	-0.0214824942763925	0.00107230138974084	0.000461497560335238	FBgn0001981	FALSE	TRUE
SCENIC_CG18599_activating_regulon	CG18599	-0.0217747374164702	0.000915310517132899	0.000474139189556227	FBgn0038592	FALSE	TRUE
SCENIC_Nf-YA_activating_regulon	Nf-YA	-0.022049369498663	0.000787456396738903	0.000486174695288572	FBgn0035993	FALSE	TRUE
SCENIC_gl_activating_regulon	gl	-0.0229220168923027	0.000482898749868391	0.000525418858411013	FBgn0004618	FALSE	TRUE
SCENIC_byn_activating_regulon	byn	-0.0229384544562624	0.000478394741491726	0.000526172692842023	FBgn0011723	FALSE	TRUE
SCENIC_slp1_activating_regulon	slp1	-0.0233538420822748	0.00037678173859737	0.000545401940003829	FBgn0003430	FALSE	TRUE
SCENIC_Dbx_activating_regulon	Dbx	-0.0239296823575838	0.00026891817504888	0.000572629697734858	FBgn0261723	FALSE	TRUE
SCENIC_CG12744_activating_regulon	CG12744	-0.0243250427831292	0.000212434664396574	0.000591707706401064	FBgn0033459	FALSE	TRUE
SCENIC_mld_activating_regulon	mld	-0.0245302356345477	0.000187712694435706	0.000601732460286433	FBgn0263490	FALSE	TRUE
SCENIC_CG11906_activating_regulon	CG11906	-0.0259600970782722	7.72461439352949e-05	0.000673926640313316	FBgn0034425	FALSE	TRUE
SCENIC_en_activating_regulon	en	-0.0262380378245562	6.46609442403225e-05	0.000688434628882842	FBgn0000577	FALSE	TRUE
SCENIC_lbl_activating_regulon	lbl	-0.0271911078554702	3.46861746249093e-05	0.000739356346407815	FBgn0008651	FALSE	TRUE
SCENIC_Kr-h1_activating_regulon	Kr-h1	-0.0274287771367729	2.96033798474025e-05	0.000752337815218754	FBgn0266450	FALSE	TRUE
SCENIC_dpn_activating_regulon	dpn	-0.0279089926423733	2.14109275183944e-05	0.000778911870312045	FBgn0010109	FALSE	TRUE
SCENIC_CG14667_activating_regulon	CG14667	-0.0295416471211307	6.84822993759621e-06	0.000872708914629411	FBgn0037317	FALSE	TRUE
SCENIC_CG5245_activating_regulon	CG5245	-0.0297703821963994	5.80975680360323e-06	0.000886275656119693	FBgn0038047	FALSE	TRUE
SCENIC_eg_activating_regulon	eg	-0.0299109827699971	5.24813194354494e-06	0.000894666890267062	FBgn0000560	FALSE	TRUE
