p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.67360969333062e-246	-0.712319355831827	1	1	9.69020012438427e-244	0	SCENIC-Rel-activating-regulon
5.72552040344812e-246	-0.596791906940756	1	1	3.31507631359646e-243	0	SCENIC-CG7987-activating-regulon
1.22072919835238e-245	-0.457959971373748	1	1	7.06802205846029e-243	0	SCENIC-Dp-activating-regulon
2.52387682535023e-245	-0.638564790132052	1	1	1.46132468187778e-242	0	SCENIC-stc-activating-regulon
2.62733445899923e-244	0.690013051581469	1	1	1.52122665176055e-241	0	SCENIC-Sox21a-activating-regulon
3.92415264332185e-244	0.552848734304483	1	1	2.27208438048335e-241	0	SCENIC-sr-activating-regulon
2.99785168724495e-242	-0.64404508400618	1	1	1.73575612691483e-239	0	SCENIC-ssp-activating-regulon
2.00430205647102e-241	-0.558095054662709	1	1	1.16049089069672e-238	0	SCENIC-Jra-activating-regulon
1.38890016610239e-240	-0.684504277929141	1	1	8.04173196173282e-238	0	SCENIC-CG9727-activating-regulon
4.00264499257207e-238	0.199000185602989	1	1	2.31753145069923e-235	0	SCENIC-CG32767-activating-regulon
1.44647183050094e-237	-0.789403180462029	1	1	8.37507189860043e-235	0	SCENIC-CG34376-activating-regulon
1.59258686413524e-237	0.59845999145732	1	1	9.22107794334306e-235	0	SCENIC-run-activating-regulon
4.85096014546775e-236	-0.607216844924894	1	1	2.80870592422583e-233	0	SCENIC-Smox-activating-regulon
3.50555136229243e-235	0.402380891775469	1	1	2.02971423876732e-232	0	SCENIC-Atf6-activating-regulon
2.30141633448262e-234	-0.653143127988924	1	1	1.33252005766544e-231	0	SCENIC-disco-activating-regulon
3.10499617570012e-234	-0.45629067884576	1	1	1.79779278573037e-231	0	SCENIC-pzg-activating-regulon
2.08315745485862e-233	0.526120243993567	1	1	1.20614816636314e-230	0	SCENIC-CG43689-activating-regulon
5.06722382812278e-233	0.459069776772725	1	1	2.93392259648309e-230	0	SCENIC-fkh-activating-regulon
1.95660407258951e-231	0.81217427178672	1	0.983	1.13287375802933e-228	0	SCENIC-CG4854-activating-regulon
6.78070112885158e-230	0.209318205810877	1	1	3.92602595360506e-227	0	SCENIC-E2f1-activating-regulon
4.04219418990104e-225	-0.671378976823472	1	1	2.3404304359527e-222	0	SCENIC-CG3847-activating-regulon
1.89360834692537e-224	0.290148159388532	1	1	1.09639923286979e-221	0	SCENIC-CG31224-activating-regulon
1.92990822081658e-222	-0.510384116191974	1	1	1.1174168598528e-219	0	SCENIC-maf-S-activating-regulon
2.96965234559683e-222	-0.503887712453937	1	1	1.71942870810057e-219	0	SCENIC-Pph13-activating-regulon
3.92640434991674e-222	-0.952959128875739	1	1	2.27338811860179e-219	0	SCENIC-Kah-activating-regulon
1.40165544577746e-221	-0.666698460108523	1	1	8.11558503105149e-219	0	SCENIC-Nf-YB-activating-regulon
2.03151832650537e-221	-0.331221548771218	1	1	1.17624911104661e-218	0	SCENIC-crc-activating-regulon
4.64053707695562e-220	-0.810417540373532	1	1	2.68687096755731e-217	0	SCENIC-kni-activating-regulon
1.82543283631946e-218	-0.848398123045199	1	1	1.05692561222897e-215	0	SCENIC-CG18446-activating-regulon
6.60646895729273e-217	0.393424579978599	1	1	3.82514552627249e-214	0	SCENIC-onecut-activating-regulon
3.77613431389736e-216	-1.11588815808836	1	1	2.18638176774657e-213	0	SCENIC-toe-activating-regulon
1.37138163811574e-214	0.484568396626801	1	1	7.94029968469012e-212	0	SCENIC-lov-activating-regulon
7.42926349158274e-212	-0.596234041646802	1	1	4.30154356162641e-209	0	SCENIC-Atf3-activating-regulon
1.23879442093373e-210	-0.162496256669227	1	1	7.17261969720632e-208	0	SCENIC-Pdp1-activating-regulon
1.66053903074495e-210	0.510628162933529	1	1	9.61452098801328e-208	0	SCENIC-Fer2-activating-regulon
4.93388405475708e-208	-0.891722064092587	1	1	2.85671886770435e-205	0	SCENIC-ken-activating-regulon
4.17709874339592e-207	0.302305551689512	1	1	2.41854017242624e-204	0	SCENIC-BtbVII-activating-regulon
5.79323631494345e-207	0.337485383500843	1	1	3.35428382635226e-204	0	SCENIC-EcR-activating-regulon
4.34504506470477e-203	0.404840118787453	1	1	2.51578109246406e-200	0	SCENIC-ham-activating-regulon
2.61917316479782e-202	-0.522576850030197	1	1	1.51650126241794e-199	0	SCENIC-noc-activating-regulon
3.18601372396114e-202	-0.48905289914641	1	1	1.8447019461735e-199	0	SCENIC-wdn-activating-regulon
3.3714355524289e-201	0.56589906108709	1	1	1.95206118485634e-198	0	SCENIC-dimm-activating-regulon
3.59909346548461e-201	0.361427456611371	1	1	2.08387511651559e-198	0	SCENIC-Hr3-activating-regulon
3.9089140369972e-199	0.377651302766693	1	1	2.26326122742138e-196	0	SCENIC-pan-activating-regulon
3.61842519761408e-197	-0.535797110585977	1	1	2.09506818941855e-194	0	SCENIC-CG15514-activating-regulon
2.88576421760011e-196	0.666869835608981	1	0.998	1.67085748199046e-193	0	SCENIC-Gsc-activating-regulon
1.81179596067464e-195	-0.739993459915068	1	1	1.04902986123062e-192	0	SCENIC-dl-activating-regulon
5.8694927106115e-194	0.209596018919786	1	1	3.39843627944406e-191	0	SCENIC-fs(1)h-activating-regulon
5.36855426421054e-192	-0.650269503872205	1	1	3.1083929189779e-189	0	SCENIC-CG12104-activating-regulon
1.80818781532428e-191	-0.454994363505795	1	1	1.04694074507276e-188	0	SCENIC-Mondo-activating-regulon
5.31822639353909e-191	-0.452315860280502	1	1	3.07925308185913e-188	0	SCENIC-Sry-delta-activating-regulon
4.47393003940055e-189	0.555649307050208	1	1	2.59040549281292e-186	0	SCENIC-slou-activating-regulon
1.15327334342191e-187	-0.476666682674928	1	1	6.67745265841286e-185	0	SCENIC-Ssrp-activating-regulon
3.20189183940036e-186	-0.815941864185534	1	1	1.85389537501281e-183	0	SCENIC-Clk-activating-regulon
7.56461791085691e-186	-0.340563186617823	1	1	4.37991377038615e-183	0	SCENIC-exd-activating-regulon
2.03545541453053e-185	-0.451061652454551	1	1	1.17852868501317e-182	0	SCENIC-disco-r-activating-regulon
3.01550749320906e-185	-0.973899271608596	1	1	1.74597883856805e-182	0	SCENIC-Bap111-activating-regulon
1.36889451821544e-184	-0.655664743431728	1	1	7.92589926046737e-182	0	SCENIC-E(spl)m3-HLH-activating-regulon
8.45417683879568e-184	0.478397866236318	1	1	4.8949683896627e-181	0	SCENIC-otp-activating-regulon
3.65564849528347e-182	-0.577621234914707	1	1	2.11662047876913e-179	0	SCENIC-cbt-activating-regulon
8.97675485426582e-182	0.3935948714776	1	1	5.19754106061991e-179	0	SCENIC-Kr-activating-regulon
1.09706204868066e-180	-0.961023942511877	1	1	6.351989261861e-178	0	SCENIC-CG11617-activating-regulon
1.10319719407838e-180	-0.337474781934065	1	1	6.38751175371381e-178	0	SCENIC-Dif-activating-regulon
3.14839324920432e-180	-0.715102263843463	1	1	1.8229196912893e-177	0	SCENIC-Dlip1-activating-regulon
1.19919145347614e-179	-0.510348207622246	1	1	6.94331851562688e-177	0	SCENIC-CG10959-activating-regulon
