p_val	avg_diff	p_val_adj	regulon	gene
0	0.0314101319861448	0	SCENIC_JUN_activating_regulon	JUN
0	0.0309146106798938	0	SCENIC_EEF1D_activating_regulon	EEF1D
0	0.0309022164828865	0	SCENIC_TSC22D4_activating_regulon	TSC22D4
0	0.0306853278681733	0	SCENIC_BAX_activating_regulon	BAX
0	0.0304623497600333	0	SCENIC_VAMP3_activating_regulon	VAMP3
0	0.0302836856398961	0	SCENIC_XBP1_activating_regulon	XBP1
0	0.0301890210805203	0	SCENIC_TIMM8A_activating_regulon	TIMM8A
0	0.0298104434853771	0	SCENIC_TSN_activating_regulon	TSN
0	0.0297083088689897	0	SCENIC_RBM8A_activating_regulon	RBM8A
0	0.0293778040030847	0	SCENIC_BARHL2_activating_regulon	BARHL2
0	0.0291163929824766	0	SCENIC_BCLAF1_activating_regulon	BCLAF1
0	0.0283534777498262	0	SCENIC_MXD1_activating_regulon	MXD1
0	0.0279925296443215	0	SCENIC_MAGEF1_activating_regulon	MAGEF1
0	0.0278936630196734	0	SCENIC_SPAG7_activating_regulon	SPAG7
0	0.02765868422835	0	SCENIC_FEZF1_activating_regulon	FEZF1
0	0.027038935174618	0	SCENIC_VPS4B_activating_regulon	VPS4B
0	0.02682024256586	0	SCENIC_RNASEH2C_activating_regulon	RNASEH2C
0	0.0266059226337069	0	SCENIC_TAGLN2_activating_regulon	TAGLN2
0	0.0264549513393196	0	SCENIC_P4HB_activating_regulon	P4HB
0	0.0256627844127026	0	SCENIC_RAB2A_activating_regulon	RAB2A
0	0.0256165085485106	0	SCENIC_TPPP_activating_regulon	TPPP
0	0.0255086352342103	0	SCENIC_DBP_activating_regulon	DBP
0	0.0252888251863739	0	SCENIC_CREB3_activating_regulon	CREB3
0	0.0251121502375658	0	SCENIC_FEZ1_activating_regulon	FEZ1
0	0.0249068293817924	0	SCENIC_ZNF707_activating_regulon	ZNF707
0	0.0244155293615484	0	SCENIC_NKX6-2_activating_regulon	NKX6-2
0	0.0240496330309678	0	SCENIC_SF3B1_activating_regulon	SF3B1
